,salary,games,bats,runs,rbi,hits,doubles,triples,homeruns,walks,strike_outs,weight,height
581,1075000,76.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,240,79
582,2500000,126.0,421.0,60.0,58.0,121.0,24.0,2.0,15.0,28.0,99.0,210,72
583,515500,20.0,25.0,1.0,0.0,1.0,1.0,0.0,0.0,2.0,8.0,220,75
584,11666666,31.0,65.0,4.0,7.0,11.0,2.0,0.0,1.0,0.0,28.0,220,75
585,1000000,14.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,200,74
586,531000,30.0,45.0,1.0,2.0,3.0,1.0,0.0,0.0,2.0,18.0,200,72
587,1333333,153.0,579.0,84.0,81.0,166.0,30.0,2.0,19.0,27.0,123.0,195,73
588,10000000,157.0,566.0,91.0,96.0,165.0,36.0,3.0,23.0,98.0,133.0,195,71
589,5400000,78.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,215,73
590,538000,116.0,394.0,34.0,34.0,96.0,21.0,0.0,3.0,27.0,73.0,210,75
591,8000000,23.0,36.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,18.0,215,77
592,525000,153.0,593.0,83.0,52.0,152.0,35.0,6.0,9.0,55.0,121.0,240,77
593,1900000,139.0,224.0,25.0,17.0,55.0,12.0,1.0,4.0,5.0,63.0,199,72
594,518000,3.0,8.0,2.0,0.0,3.0,0.0,0.0,0.0,1.0,3.0,220,71
595,1225000,58.0,159.0,9.0,15.0,46.0,8.0,0.0,0.0,6.0,29.0,215,76
596,4000000,27.0,38.0,2.0,4.0,11.0,0.0,0.0,0.0,2.0,7.0,210,71
597,8000000,151.0,543.0,69.0,71.0,146.0,32.0,3.0,16.0,44.0,110.0,214,74
598,1750000,77.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,224,75
599,2450000,24.0,17.0,1.0,0.0,3.0,1.0,0.0,0.0,0.0,6.0,240,74
600,1650000,103.0,354.0,50.0,31.0,100.0,18.0,1.0,5.0,42.0,48.0,230,73
601,1150000,118.0,324.0,28.0,30.0,66.0,10.0,4.0,3.0,24.0,55.0,160,66
602,1300000,98.0,207.0,24.0,16.0,48.0,14.0,1.0,3.0,10.0,55.0,200,73
603,8000000,67.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,250,76
604,4050000,38.0,60.0,2.0,1.0,5.0,0.0,0.0,0.0,1.0,24.0,235,78
605,517300,34.0,30.0,0.0,0.0,2.0,1.0,0.0,0.0,1.0,11.0,200,72
606,508500,40.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,175,71
607,2000000,128.0,421.0,34.0,57.0,104.0,15.0,0.0,16.0,27.0,107.0,205,70
608,2835000,53.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,237,74
609,21250000,154.0,596.0,80.0,100.0,158.0,31.0,3.0,23.0,39.0,147.0,225,76
610,9850000,30.0,42.0,3.0,0.0,4.0,3.0,0.0,0.0,0.0,23.0,210,72
611,9000000,61.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,215,71
612,540500,83.0,255.0,23.0,29.0,54.0,7.0,2.0,9.0,11.0,60.0,220,75
613,2500000,5.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,8.0,207,75
614,519800,60.0,225.0,40.0,29.0,57.0,13.0,1.0,8.0,27.0,55.0,207,75
615,850000,6.0,13.0,1.0,4.0,1.0,0.0,0.0,1.0,1.0,4.0,190,71
616,545000,147.0,515.0,65.0,62.0,129.0,33.0,2.0,14.0,35.0,131.0,235,72
617,5250000,34.0,56.0,6.0,6.0,14.0,1.0,1.0,1.0,2.0,19.0,254,77
618,10000000,36.0,68.0,7.0,2.0,9.0,2.0,0.0,0.0,1.0,28.0,210,75
619,516400,152.0,526.0,63.0,63.0,142.0,33.0,4.0,14.0,34.0,56.0,220,71
620,508500,108.0,303.0,38.0,21.0,82.0,17.0,5.0,4.0,28.0,75.0,195,72
621,1375000,38.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,210,72
622,14450000,87.0,205.0,23.0,17.0,53.0,12.0,4.0,5.0,21.0,62.0,185,75
623,14500000,150.0,542.0,85.0,81.0,136.0,26.0,3.0,26.0,68.0,159.0,215,73
624,4250000,98.0,283.0,34.0,30.0,73.0,10.0,3.0,6.0,25.0,73.0,205,75
625,525300,26.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,185,70
626,2600000,85.0,186.0,22.0,19.0,40.0,8.0,1.0,6.0,14.0,38.0,205,73
627,3000000,35.0,69.0,2.0,4.0,11.0,1.0,0.0,0.0,2.0,13.0,200,71
628,24000000,156.0,624.0,82.0,79.0,179.0,34.0,1.0,21.0,43.0,107.0,212,72
629,14250000,152.0,590.0,90.0,93.0,178.0,22.0,1.0,44.0,59.0,164.0,230,74
630,527000,43.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,185,69
631,1300000,33.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,215,77
632,6700000,21.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,205,77
