uniqueid, salary ,games,bats,runs,rbi,hits,doubles,triples,homeruns,walks,strike_outs,weight,height
2015CLEkipnija01,4166666,141,565,86,52,171,43,7,9,57,107,200,71
2015HOUcartech02,4175000,129,391,50,64,78,17,0,24,57,151,245,76
2015HOUvalbulu01,4200000,132,434,62,56,97,18,0,25,50,106,215,70
2015NYNdudalu01,4200000,135,471,67,73,115,33,0,27,66,138,255,76
2015ATLgrillja01,4250000,36,0,0,0,0,0,0,0,0,0,235,77
2015BALodayda01,4250000,68,0,0,0,0,0,0,0,0,0,220,76
2015LANellisaj01,4250000,63,181,24,21,43,9,0,7,32,38,225,74
2015SDNvenabwi01,4250000,98,283,34,30,73,10,3,6,25,73,205,75
2015ARIhellije01,4275000,29,41,3,7,9,0,0,0,2,14,190,73
2015TORdonaljo02,4300000,158,620,122,123,184,41,2,41,73,133,210,73
2015BALtillmch01,4315000,31,2,0,0,0,0,0,0,0,2,200,77
2015CHAdukeza01,4500000,71,0,0,0,0,0,0,0,0,0,210,74
2015CHNmotteja01,4500000,57,0,0,0,0,0,0,0,0,0,205,72
2015CINfrazito01,4500000,157,619,82,89,158,43,1,35,44,137,215,75
2015SEAseageky01,4500000,161,623,85,74,166,37,0,26,54,98,216,72
2015BALhunteto02,4650000,39,0,0,0,0,0,0,0,0,0,250,75
2015MINperkigl01,4650000,60,0,0,0,0,0,0,0,0,0,205,72
2015BALchenwe02,4750000,31,0,0,0,0,0,0,0,0,0,200,72
2015BOSmujiced01,4750000,11,0,0,0,0,0,0,0,0,0,220,75
2015LAAjoycema01,4750000,93,247,17,21,43,12,1,5,30,67,194,74
2015TEXmartile01,4750000,95,288,26,25,63,12,0,5,16,69,200,74
2015MINplouftr01,4800000,152,573,74,86,140,35,4,22,50,124,215,74
2015SFNmcgehca01,4800000,49,127,7,11,27,5,0,2,11,28,220,73
2015ARIreedad01,4875000,38,2,0,0,0,0,0,0,0,0,230,76
2015ARIzieglbr01,5000000,66,0,0,0,0,0,0,0,0,0,220,76
2015BALdeazaal01,5000000,30,103,16,7,22,4,1,3,7,34,195,72
2015CHNrizzoan01,5000000,160,586,94,101,163,38,3,31,78,105,240,75
2015DETdavisra01,5000000,112,341,55,30,88,16,11,8,22,76,195,70
2015NYAcapuach01,5000000,22,1,0,0,0,0,0,0,0,0,225,74
2015NYAdrewst01,5000000,131,383,43,44,77,16,1,17,37,71,220,72
2015NYAjonesga02,5000000,57,144,12,17,31,4,1,5,8,37,235,77
2015PHIharanaa01,5000000,29,48,4,0,8,1,0,0,1,18,260,79
2015SFNgarcija01,5000000,67,0,0,0,0,0,0,0,0,0,210,72
2015TBAdejesda01,5000000,82,232,24,26,60,8,2,5,19,39,190,71
2015TORnavardi01,5000000,54,171,17,20,42,7,0,5,17,29,215,69
2015WASescobyu01,5000000,139,535,75,56,168,25,1,9,45,70,215,74
2015LAAsmithjo05,5250000,70,0,0,0,0,0,0,0,0,0,211,74
2015SDNrossty01,5250000,34,56,6,6,14,1,1,1,2,19,254,77
2015NYNgeedi01,5300000,8,10,0,0,1,0,0,0,0,5,205,73
2015DETavilaal01,5400000,67,178,21,13,34,5,0,4,40,66,228,71
2015PITmelanma01,5400000,78,0,0,0,0,0,0,0,0,0,215,73
2015ARItomasya01,5500000,118,406,40,48,111,19,3,9,17,110,260,74
2015BOScraigal01,5500000,36,79,6,3,12,1,0,1,7,26,215,74
2015COLkendrky01,5500000,27,43,6,2,8,2,0,1,3,16,220,75
2015COLloganbo02,5500000,60,0,0,0,0,0,0,0,0,0,215,77
2015HOUneshepa01,5500000,66,0,0,0,0,0,0,0,0,0,220,75
2015MINpelfrmi01,5500000,30,3,0,0,2,0,0,0,0,1,240,79
2015OAKoflaher01,5500000,25,0,0,0,0,0,0,0,0,0,210,74
2015LAAiannech01,5525000,92,272,28,34,51,10,0,10,41,83,230,72
2015DETsimonal01,5550000,31,5,0,0,0,0,0,0,0,2,265,78
2015KCAhosmeer01,5650000,158,599,98,93,178,33,5,18,61,108,226,76
2015CHNwoodtr01,5686000,60,30,0,2,3,0,0,0,2,16,175,71
2015WASstoredr01,5700000,58,0,0,0,0,0,0,0,0,0,200,73
2015PITalvarpe01,5750000,150,437,60,77,106,18,0,27,48,131,250,75
2015COLstubbdr01,5825000,51,102,14,10,22,3,2,5,9,50,205,76
2015CLEbrantmi02,5875000,137,529,68,84,164,45,0,15,60,51,209,74
2015ATLjohnsch05,6000000,56,153,12,11,36,7,0,2,7,49,225,75
2015CHAsalech01,6000000,31,9,1,0,1,0,0,0,0,4,183,78
2015CLEmurphda07,6000000,84,206,22,27,61,12,1,5,16,29,210,75
2015CLEsantaca01,6000000,154,550,72,85,127,29,2,19,108,122,215,71
2015HOUgregelu01,6000000,64,0,0,0,0,0,0,0,0,0,205,75
2015MINsuzukku01,6000000,131,433,36,50,104,17,0,5,29,59,210,71
2015SEAsmithse01,6000000,136,395,54,42,98,31,5,12,47,99,210,75
2015SFNaffelje01,6000000,52,2,0,0,0,0,0,0,0,2,225,76
2015SFNromose01,6000000,70,2,0,0,0,0,0,0,0,1,185,71
2015LAAtroutmi01,6083000,159,575,104,90,172,32,6,41,92,158,235,74
2015LANpuigya01,6214000,79,282,30,38,72,12,3,11,26,66,240,74
2015MILparrage01,6237500,100,323,53,31,106,24,5,9,20,57,210,71
2015LAAfreesda01,6425000,121,424,53,56,109,27,0,14,31,107,213,74
2015CLEmossbr01,6500000,94,337,36,50,73,17,1,15,32,106,210,73
2015KCAmoralke01,6500000,158,569,81,106,165,41,2,22,58,103,242,73
2015LANguerral01,6500000,106,219,25,36,51,9,1,11,7,57,220,73
2015LANuribeju01,6500000,29,81,6,6,20,2,0,1,5,9,245,72
2015MIAstantmi03,6500000,74,279,47,67,74,12,1,27,34,95,245,78
2015MIAcishest01,6650000,32,0,0,0,0,0,0,0,0,0,215,78
2015OAKbutlebi03,6666000,151,538,63,65,135,28,1,15,52,101,260,72
2015SEAhappja01,6700000,21,1,0,0,0,0,0,0,1,0,205,77
2015COLmorneju01,6750000,49,168,19,15,52,10,3,3,13,25,220,76
2015SFNbumgama01,6750000,36,77,9,9,19,2,0,5,3,27,257,76
2015CHNcastrst01,6857143,151,547,52,69,145,23,2,11,21,91,218,74
2015ARItrumbma01,6900000,46,174,23,23,45,10,3,9,10,39,225,76
2015ATLmaybica01,7000000,141,505,65,59,135,18,2,10,45,102,215,75
2015DETsoriajo01,7000000,43,0,0,0,0,0,0,0,0,0,205,75
2015KCAdaviswa01,7000000,69,0,0,0,0,0,0,0,0,0,225,77
2015LAAstreehu01,7000000,62,0,0,0,0,0,0,0,0,0,205,72
2015NYNniesejo01,7000000,33,52,5,4,9,1,0,0,5,18,215,75
2015SEAiwakuhi01,7000000,20,2,0,0,0,0,0,0,0,2,210,75
2015SEArodnefe01,7000000,54,0,0,0,0,0,0,0,0,0,240,71
2015SLNlynnla01,7000000,31,50,3,1,8,2,0,0,0,26,270,77
2015TORmartiru01,7000000,129,441,76,77,106,23,2,23,53,106,215,70
2015TEXhollade01,7400000,10,0,0,0,0,0,0,0,0,0,223,74
2015WASstrasst01,7400000,23,38,1,0,5,0,0,0,2,17,240,77
2015LANjanseke01,7425000,54,0,0,0,0,0,0,0,0,0,265,77
2015KCAinfanom01,7500000,124,440,39,44,97,23,7,2,9,69,195,71
2015KCAvolqued01,7500000,34,6,0,0,0,0,0,0,0,4,220,72
2015MILlindad01,7500000,149,502,72,87,139,32,0,20,66,100,195,74
2015OAKzobribe01,7500000,67,235,39,33,63,20,2,6,33,26,210,75
2015TBAcabreas01,7500000,143,505,66,58,134,28,5,15,36,107,235,72
2015SEAjacksau01,7700000,107,419,46,38,114,18,3,8,24,107,198,73
2015SLNheywaja01,7800000,154,547,79,60,160,33,4,13,56,90,240,77
2015CINbyrdma01,8000000,96,359,46,42,85,13,3,19,23,101,245,72
2015HOUlowrije01,8000000,69,230,35,30,51,14,0,9,28,43,180,72
2015HOUrasmuco01,8000000,137,432,67,61,103,23,2,25,47,154,195,74
2015MILgomezca01,8000000,74,286,42,43,75,20,1,8,23,70,220,75
2015NYNmurphda08,8000000,130,499,56,73,140,38,2,14,31,38,223,73
2015PITmortoch02,8000000,23,36,0,1,1,0,0,0,1,18,215,77
2015PITwalkene01,8000000,151,543,69,71,146,32,3,16,44,110,214,74
2015SDNbenoijo01,8000000,67,0,0,0,0,0,0,0,0,0,250,76
2015CINchapmar01,8050000,65,1,1,0,0,0,0,0,0,0,218,76
2015KCAhollagr01,8250000,48,0,0,0,0,0,0,0,0,0,210,70
2015BALwietema01,8300000,75,258,24,25,69,14,1,8,21,67,235,77
2015OAKclippty01,8300001,37,0,0,0,0,0,0,0,0,0,200,75
2015ATLfreemfr01,8500000,118,416,62,66,115,27,0,18,56,98,220,77
2015KCAvargaja01,8500000,9,0,0,0,0,0,0,0,0,0,215,72
2015LAAaybarer01,8500000,156,597,74,44,161,30,1,3,25,73,195,70
2015NYNcuddymi01,8500000,117,379,44,41,98,18,1,10,24,88,220,74
2015PHIruizca01,8500000,86,284,23,22,60,13,1,2,28,43,215,70
2015PITburneaj01,8500000,26,42,1,5,5,0,0,1,0,20,230,76
2015CHAabreujo02,8666000,154,613,88,101,178,34,3,30,39,140,235,75
2015TBAloneyja01,8666666,104,361,25,32,101,16,0,4,23,34,235,75
2015BALnorribu01,8800000,18,4,0,0,0,0,0,0,0,1,215,72
2015BOSueharko01,9000000,43,0,0,0,0,0,0,0,0,0,195,74
2015CHNhammeja01,9000000,32,65,6,4,11,1,0,0,1,18,225,78
2015KCAguthrje01,9000000,30,4,0,0,1,0,0,0,0,0,205,73
2015MILbroxtjo01,9000000,40,0,0,0,0,0,0,0,0,0,285,76
2015NYAmillean01,9000000,60,0,0,0,0,0,0,0,0,0,200,79
2015SDNkimbrcr01,9000000,61,1,0,0,0,0,0,0,0,1,215,71
2015SFNpeavyja01,9000000,19,36,5,3,7,2,0,1,1,17,195,73
2015WASspande01,9000000,61,246,38,22,74,17,0,5,25,26,210,72
2015MINhugheph01,9200000,27,3,0,0,0,0,0,0,0,0,240,77
2015SLNgarcija02,9250000,20,41,1,1,4,0,0,0,2,15,215,74
2015MIAlatosma01,9400000,16,18,0,1,5,0,0,0,0,6,245,78
2015BOSmasteju01,9500000,18,3,0,1,2,0,0,0,0,1,260,78
2015CHNfowlede01,9500000,156,596,102,46,149,29,8,17,84,154,205,77
2015LANkendrho01,9500000,117,464,64,54,137,22,2,9,27,82,225,71
2015CINleakemi01,9775000,25,52,3,5,7,3,0,1,0,25,165,70
2015CHAsamarje01,9800000,32,2,0,0,1,0,0,0,0,1,233,76
2015SDNkenneia01,9850000,30,42,3,0,4,3,0,0,0,23,210,72
2015CHAramiral03,10000000,154,583,54,62,145,33,0,10,31,68,180,74
2015CHAroberda08,10000000,60,0,0,0,0,0,0,0,0,0,195,71
2015CINbaileho02,10000000,2,4,0,0,0,0,0,0,0,1,223,76
2015CINcuetojo01,10000000,19,37,1,0,6,0,0,0,1,10,229,71
2015DETnathajo01,10000000,1,0,0,0,0,0,0,0,0,0,230,76
2015HOUfeldmsc01,10000000,18,2,0,0,1,0,0,0,0,1,225,78
2015LANanderbr04,10000000,31,47,1,3,4,1,0,0,5,32,230,76
2015MIAharenda01,10000000,22,32,3,4,5,1,0,0,2,12,215,77
2015PITmccutan01,10000000,157,566,91,96,165,36,3,23,98,133,195,71
2015SDNshielja02,10000000,36,68,7,2,9,2,0,0,1,28,210,75
2015TORencared01,10000000,146,528,94,111,146,31,0,39,77,98,230,73
2015SFNpaganan01,10250000,133,512,55,37,134,21,3,3,32,93,200,74
2015DETcespeyo01,10500000,102,403,62,61,118,28,2,18,19,87,225,71
2015MINhunteto01,10500000,139,521,67,81,125,22,0,22,35,105,220,74
2015ATLmarkani01,11000000,156,612,73,53,181,38,1,3,70,83,210,73
2015KCAriosal01,11000000,105,385,40,32,98,22,2,4,15,67,210,77
